"Entity Name","Child Relationship Parent to Child Rule","Child Relationship Child to Parent Rule","Child Relationship Null Option","Parent Entity Name","Child Entity Name"
T_SITUACION_JUDICIAL,"A T_SITUACION_JUDICIAL is associated with zero, one or more T_TIPOS_DELITOS_X_SITU_JUDIs.","A T_TIPOS_DELITOS_X_SITU_JUDI is associated with exactly one T_SITUACION_JUDICIAL.",,T_SITUACION_JUDICIAL,T_TIPOS_DELITOS_X_SITU_JUDI
T_T_CARACT_X_PERS,,,,,
T_TIPOS_CIRCUITO,"A T_TIPOS_CIRCUITO is associated with zero, one or more T_TIPOS_INTERVENCIONs.","A T_TIPOS_INTERVENCION is associated with zero or one T_TIPOS_CIRCUITOs.","Nulls Allowed",T_TIPOS_CIRCUITO,T_TIPOS_INTERVENCION
T_TIPOS_CIRCUITO,"A T_TIPOS_CIRCUITO is associated with zero, one or more T_INSTITUCIONES_X_TCIRCUITOs.","A T_INSTITUCIONES_X_TCIRCUITO is associated with exactly one T_TIPOS_CIRCUITO.",,T_TIPOS_CIRCUITO,T_INSTITUCIONES_X_TCIRCUITO
T_TIPOS_CIRCUITO,"A T_TIPOS_CIRCUITO is associated with zero, one or more T_SITUACION_JUDICIALs.","A T_SITUACION_JUDICIAL is associated with zero or one T_TIPOS_CIRCUITOs.","Nulls Allowed",T_TIPOS_CIRCUITO,T_SITUACION_JUDICIAL
T_TIPOS_CIRCUITO,"A T_TIPOS_CIRCUITO is associated with zero, one or more T_MOTIVOS_INTERV_TIPO_CIRCs.","A T_MOTIVOS_INTERV_TIPO_CIRC is associated with exactly one T_TIPOS_CIRCUITO.",,T_TIPOS_CIRCUITO,T_MOTIVOS_INTERV_TIPO_CIRC
T_TIPOS_DELITO,"A T_TIPOS_DELITO is associated with zero, one or more T_TIPOS_DELITOS_X_SITU_JUDIs.","A T_TIPOS_DELITOS_X_SITU_JUDI is associated with exactly one T_TIPOS_DELITO.",,T_TIPOS_DELITO,T_TIPOS_DELITOS_X_SITU_JUDI
T_TIPOS_DELITOS_X_SITU_JUDI,,,,,
T_TIPOS_INSTITUCION,"A T_TIPOS_INSTITUCION FK_INST_TPOINST zero, one or more T_INSTITUCIONESs.","A T_INSTITUCIONES is associated with zero or one T_TIPOS_INSTITUCIONs.","Nulls Allowed",T_TIPOS_INSTITUCION,T_INSTITUCIONES
T_TIPOS_INTERVENCION,"A T_TIPOS_INTERVENCION FK_INT_PROT_INT_TPO_INT zero, one or more T_INTERV_MPIs.","A T_INTERV_MPI is associated with zero or one T_TIPOS_INTERVENCIONs.","Nulls Allowed",T_TIPOS_INTERVENCION,T_INTERV_MPI
T_TIPOS_INTERVENCION,"A T_TIPOS_INTERVENCION FK_INT_PROT_EXC_TPO_INT zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_TIPOS_INTERVENCIONs.","Nulls Allowed",T_TIPOS_INTERVENCION,T_INTERV_MPE
T_TIPOS_INTERVENCION,"A T_TIPOS_INTERVENCION FK_INTERV_MEP_TPO_INT zero, one or more T_INTERV_MPJs.","A T_INTERV_MPJ is associated with zero or one T_TIPOS_INTERVENCIONs.","Nulls Allowed",T_TIPOS_INTERVENCION,T_INTERV_MPJ
T_TIPOS_OPERADOR,"A T_TIPOS_OPERADOR is associated with zero, one or more T_USUARIOSs.","A T_USUARIOS is associated with zero or one T_TIPOS_OPERADORs.","Nulls Allowed",T_TIPOS_OPERADOR,T_USUARIOS
T_TIPOS_ORG_JUDICIAL,"A T_TIPOS_ORG_JUDICIAL is associated with zero, one or more T_ORGANOS_JUDICIALs.","A T_ORGANOS_JUDICIAL is associated with zero or one T_TIPOS_ORG_JUDICIALs.","Nulls Allowed",T_TIPOS_ORG_JUDICIAL,T_ORGANOS_JUDICIAL
T_TIPOS_USUARIO_102,"A T_TIPOS_USUARIO_102 is associated with zero, one or more T_USR_LLAMA_102s.","A T_USR_LLAMA_102 is associated with zero or one T_TIPOS_USUARIO_102s.","Nulls Allowed",T_TIPOS_USUARIO_102,T_USR_LLAMA_102
T_TURNOS_OPERADORES_102,,,,,
T_USR_LLAMA_102,"A T_USR_LLAMA_102 is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one T_USR_LLAMA_102s.","Nulls Allowed",T_USR_LLAMA_102,T_LLAMADAS_102
T_USUARIOS,"A T_USUARIOS FK_INT_PROT_EXC_MODIF zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_USUARIOSs.","Nulls Allowed",T_USUARIOS,T_INTERV_MPE
T_USUARIOS,"A T_USUARIOS FK_INT_PROT_EXC_ALTA zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_USUARIOSs.","Nulls Allowed",T_USUARIOS,T_INTERV_MPE
T_ZONALES,"A T_ZONALES FK_LOCAL_ZONAL zero, one or more T_LOCALESs.","A T_LOCALES is associated with exactly one T_ZONALES.","No Nulls",T_ZONALES,T_LOCALES
T_ZONALES,"A T_ZONALES FK_INST_ZONAL zero, one or more T_INSTITUCIONESs.","A T_INSTITUCIONES is associated with zero or one T_ZONALESs.","Nulls Allowed",T_ZONALES,T_INSTITUCIONES
T_ZONALES,"A T_ZONALES FK_INT_PROT_EXC_ZONAL zero, one or more T_INTERV_MPEs.","A T_INTERV_MPE is associated with zero or one T_ZONALESs.","Nulls Allowed",T_ZONALES,T_INTERV_MPE
T_ZONALES,"A T_ZONALES is associated with zero, one or more T_USUARIOSs.","A T_USUARIOS is associated with zero or one T_ZONALESs.","Nulls Allowed",T_ZONALES,T_USUARIOS
T_ZONALES,"A T_ZONALES is associated with zero, one or more T_LEGAJOSs.","A T_LEGAJOS is associated with zero or one T_ZONALESs.","Nulls Allowed",T_ZONALES,T_LEGAJOS
T_ZONALES,"A T_ZONALES is associated with zero, one or more T_INTERV_MPIs.","A T_INTERV_MPI is associated with zero or one T_ZONALESs.","Nulls Allowed",T_ZONALES,T_INTERV_MPI
T_ZONALES,"A T_ZONALES is associated with zero, one or more T_INTERV_MPJs.","A T_INTERV_MPJ is associated with zero or one T_ZONALESs.","Nulls Allowed",T_ZONALES,T_INTERV_MPJ
T_ZONALES,"A T_ZONALES is associated with zero, one or more T_LLAMADAS_102s.","A T_LLAMADAS_102 is associated with zero or one T_ZONALESs.","Nulls Allowed",T_ZONALES,T_LLAMADAS_102


